"source","dest","loc","bytes","sha256","reason","action"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\run_pipeline.py","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\run_pipeline.py","LSE_FINAL_IMAGE_AND_SPLIT_FIX","22897","51267BE011A01F4F263DD814988D50F0896C7B062126FFF3F78064BD388D6EA7","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\tmp_preprocess.py","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\tmp_preprocess.py","LSE_FINAL_IMAGE_AND_SPLIT_FIX","16419","C6AC69E22E58DBF16BBC4BA3F5B0BB2BA816D071254476875EEDC7500D8883B3","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\.claude\settings.local.json","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\.claude\settings.local.json","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1114","9DB82A9316EE067B4C3058BE6D58BDF6A777CD0FB979F2B71764232594B90236","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\LSE_APPROVED_ARCHITECTURE_PACKET.md","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\LSE_APPROVED_ARCHITECTURE_PACKET.md","LSE_FINAL_IMAGE_AND_SPLIT_FIX","37517","4C0500700554D980E91B93E9BA1274D1C4A7B40F6EE2E7CB0CA292D7D9A9A8C1","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\LSE_FIVE_BOOK_INTEGRITY_DATA.json","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\LSE_FIVE_BOOK_INTEGRITY_DATA.json","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1932","29CE5D2A811BD8EABDB6DCF9A8BAAEB3E0E05C75C42930B796C75C9C8F885241","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\LSE_FIVE_BOOK_INTEGRITY_REPORT.md","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\LSE_FIVE_BOOK_INTEGRITY_REPORT.md","LSE_FINAL_IMAGE_AND_SPLIT_FIX","4321","3191C7A8D8FC939A5A932EA713A6BFE0C4EE7370897EF1445FAA3C53794C74A9","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\.gitignore","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\.gitignore","LSE_FINAL_IMAGE_AND_SPLIT_FIX","836","13B592D50056BE3227FFFA8BBA1E78104A852E84CD27C363D7E7333359BD3953","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\build_lse_five_book_set.py","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\build_lse_five_book_set.py","LSE_FINAL_IMAGE_AND_SPLIT_FIX","61819","BFD2254F82AC372376FD8A87C58D9EAF7BAD08A95E2475626598678FDD250A94","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\CLAUDE.md","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\CLAUDE.md","LSE_FINAL_IMAGE_AND_SPLIT_FIX","10470","27382C62A24A3A6F74FFE187C0D966CA813C5CD27DB1504C7CDEF0638E3B14CB","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\generate_baseline.py","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\generate_baseline.py","LSE_FINAL_IMAGE_AND_SPLIT_FIX","4985","61A91D00724B8AC677C848E61CE10D265AC7AA5C7F095D8772DD12A68A05623A","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_1_THE_LIVING_SOIL_WORKING.html","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_1_THE_LIVING_SOIL_WORKING.html","LSE_FINAL_IMAGE_AND_SPLIT_FIX","489256","AE88EDF3B4A37088C9947A456727A033C81C1C2C1A9E0C19B496B3A0DDB6C10E","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_2_INPUTS_AND_AMENDMENTS_WORKING.html","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_2_INPUTS_AND_AMENDMENTS_WORKING.html","LSE_FINAL_IMAGE_AND_SPLIT_FIX","586975","E512A20BA8D5E7D9476CE5E51432869F0AE8E52429CA28E0D315A10F3C4CD608","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_3_CROPS_AND_GUILDS_WORKING.html","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_3_CROPS_AND_GUILDS_WORKING.html","LSE_FINAL_IMAGE_AND_SPLIT_FIX","565320","CAE512C6277EE5B648C611FC29D0C83175655F7A885258CC17DF35330BA31F05","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_4_PLANT_HEALTH_AND_DEFENSE_WORKING.html","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_4_PLANT_HEALTH_AND_DEFENSE_WORKING.html","LSE_FINAL_IMAGE_AND_SPLIT_FIX","443309","C2BA3D199AD9BCE5F6FB65F444BBB5064823CD8888F701B47B9C99745A061BB2","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_5_FIELD_COMPANION_WORKING.html","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_5_FIELD_COMPANION_WORKING.html","LSE_FINAL_IMAGE_AND_SPLIT_FIX","400004","BF8D053039F3BE57F1BACF81676E6F3F87C10E5C99071812A5807DC4FC739B12","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\lse_five_book_working.css","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\lse_five_book_working.css","LSE_FINAL_IMAGE_AND_SPLIT_FIX","25292","2C70812CB65A8971FF40574380EA9EC5B2A28F787F8DD390CA4418F7B89BEB6E","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_INTERNAL_PRODUCTION_HOLD.html","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_INTERNAL_PRODUCTION_HOLD.html","LSE_FINAL_IMAGE_AND_SPLIT_FIX","64848","708E27472466FC273C45F2E03EA76D2A0EA924A8AFF9C22A0F6E4CE5DAC8CCE9","unique, archive","copy"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_MIRROR_SYNCHRONIZATION_LEDGER.csv","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_MIRROR_SYNCHRONIZATION_LEDGER.csv","LSE_FINAL_IMAGE_AND_SPLIT_FIX","7720","FACBAD3A906A11CD4FB8D058BA9D63FE33E2F89D200084490B9879D6C4F1B62A","already in repo","skip"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_MOVEMENT_LEDGER.csv","D:\LSE_ARCHIVE\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_MOVEMENT_LEDGER.csv","LSE_FINAL_IMAGE_AND_SPLIT_FIX","18267","462F141B8DBDF1D41F4DD9B3EE284D0153E72E641CA222EA58D4E017B35140C6","already in repo","skip"
