"target","target_rel","source","source_loc","dims","kb","sha256","candidates","distinct_hashes","review","refs","metadata"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png","assets\lse_figures\LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1024x1536","3206","758C2B5F5D095D8A9CA7F4103701985D0862DCF5C533F6199E1332F88712046E","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png","assets\lse_figures\LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1122x1402","2641","4127EFE5CA8ABF2EF1AFEC20BC65344A3F8398C8020507E775716252E20A7FAE","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_005_ISR_and_SAR_The_Plant_Immune_System.png","assets\user_created_web\UCI_005_ISR_and_SAR_The_Plant_Immune_System.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_005_ISR_and_SAR_The_Plant_Immune_System.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1402x1122","2584","8AAB179606BB18D5C57FAFACFF325F96BA9A20DA9C2B14A6DDAD6395B2D956FF","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.png","assets\lse_figures\LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1149x1369","2544","01FDE967C21528669C95FEA895ABFE047A90D46C23DD8C0EFC85D9321EC71208","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.png","assets\lse_figures\LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1254x1254","2450","398B868DF1F3E489F9AE506E5DF75A5327B7082F60FCCE8E21255F3ECC8F3830","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_003_The_Nutrient_Mineralization_Loop.png","assets\user_created_web\UCI_003_The_Nutrient_Mineralization_Loop.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_003_The_Nutrient_Mineralization_Loop.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1190x1322","2778","4F7464F8074BFBACE93AB52567094CFDF5CF8303C8746EEBA303FC73898C2316","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png","assets\lse_figures\LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1122x1402","2533","3A544667894C9C8FEAA855CFEA82895E0B3F07FBE74A2D8D9FACC6383574D757","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D04_Root_Knot_Nematode_Diagnosis_Workflow_Ch05_Ch29_Ch42_Ch44.png","assets\lse_figures\LSE_D04_Root_Knot_Nematode_Diagnosis_Workflow_Ch05_Ch29_Ch42_Ch44.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_D04_Root_Knot_Nematode_Diagnosis_Workflow_Ch05_Ch29_Ch42_Ch44.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2401","EED6A8DB36EABCF52AAB1A007C01A438A78004BF01A06DD2C5160A04E772ECF2","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_D18_Root_Inspection_Nodules_Galls_Root_Disease_Ch05_Ch29_Ch44.png","assets\lse_figures\LSE_D18_Root_Inspection_Nodules_Galls_Root_Disease_Ch05_Ch29_Ch44.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\lse_figures\LSE_D18_Root_Inspection_Nodules_Galls_Root_Disease_Ch05_Ch29_Ch44.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1536x1024","2218","61E8B2BAD9A45E5A0F826A9B6B1BBE6C03D39955F5B996C7806539957C8C021A","2","1","","2",""
"C:\Users\dstor\lse-repo\assets\user_created_web\UCI_002_Bacterial_vs_Fungal_Soil_Dominance.png","assets\user_created_web\UCI_002_Bacterial_vs_Fungal_Soil_Dominance.png","C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\assets\Images from internet\New image creations final draft\UCI_002_Bacterial_vs_Fungal_Soil_Dominance.png","LSE_FINAL_IMAGE_AND_SPLIT_FIX","1122x1402","2736","39774C1AEDF0EA32A752B2E5D380577AEE7B1D71222C583F2136A452B9761F3A","2","1","","2",""
