"file","bucket","result","note"
"B30_024__LSE_FOUND_B27_ABIOTIC_Tomato_2-4DInjury_TwistedCurlingShoot_PBacchi-Bugwood_VERIFY.png","jpeg","ok","300 -> 61 KB, now .jpg"
"B30_036__LSE_FOUND_B27_ABIOTIC_Bean_PesticideBurn_LeafScorch_UMD_VERIFY.png","jpeg","ok","1538 -> 281 KB, now .jpg"
"B30_039__LSE_FOUND_B27_ABIOTIC_Tomato_FlumioxazinDrift_FruitNecrosis_NCSU-CC-BY-NC-SA_REJECT.png","jpeg","ok","186 -> 31 KB, now .jpg"
"B30_040__LSE_FOUND_B27_ABIOTIC_Tomato_FlumioxazinDrift_FoliageStemNecrosis_NCSU-CC-BY-NC-SA_REJECT.png","jpeg","ok","448 -> 79 KB, now .jpg"
"B30_078__LSE_FOUND_B29_HOLD_ABIOTIC_Bean_PesticideBurn_ScorchedLeaves_UMD_VERIFY.png","jpeg","ok","1538 -> 281 KB, now .jpg"
"LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png","png256","ok","3206 -> 882 KB"
"LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png","jpeg","ok","2641 -> 644 KB, now .jpg"
"LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png","jpeg","ok","3503 -> 814 KB, now .jpg"
"LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png","png256","ok","2472 -> 768 KB"
"LSE_A09_Compost_Maturity_Contamination_Inspection_Ch13.png","jpeg","ok","2555 -> 627 KB, now .jpg"
"LSE_A10_Brews_Teas_Ferments_Safety_Station_Ch19.png","jpeg","ok","2511 -> 557 KB, now .jpg"
"LSE_A12_Living_Soil_Container_Cross_Section_Ch22.png","jpeg","ok","2410 -> 592 KB, now .jpg"
"LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png","jpeg","ok","2790 -> 646 KB, now .jpg"
"LSE_A14_Insectary_Pollinator_Guild_Ch28.png","jpeg","ok","2989 -> 701 KB, now .jpg"
"LSE_A15_Crop_Family_Rotation_Map_Ch29.png","png256","ok","2657 -> 822 KB"
"LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.png","jpeg","ok","3084 -> 676 KB, now .jpg"
"LSE_A18_IPM_Pyramid_Scouting_Ch39.png","jpeg","ok","2481 -> 561 KB, now .jpg"
"LSE_A20_Soil_Microscopy_Workflow_Ch44.png","png256","ok","2235 -> 794 KB"
"LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.png","jpeg","ok","2450 -> 511 KB, now .jpg"
"LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png","png256","ok","2533 -> 789 KB"
"LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.png","jpeg","ok","2544 -> 593 KB, now .jpg"
"LSE_B06_Fungal_Bacterial_Succession_Strip_Ch07.png","jpeg","ok","2924 -> 682 KB, now .jpg"
"LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.png","jpeg","ok","2949 -> 651 KB, now .jpg"
"LSE_B08_Thermal_Compost_Process_Ch09_Ch13.png","jpeg","ok","2397 -> 619 KB, now .jpg"
"LSE_B09_Compost_Extract_vs_AACT_Ch09_19.png","jpeg","ok","1905 -> 456 KB, now .jpg"
"LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.png","jpeg","ok","2531 -> 533 KB, now .jpg"
"LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.png","jpeg","ok","2780 -> 605 KB, now .jpg"
"LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png","png256","ok","2440 -> 824 KB"
"LSE_B13_JADAM_Safety_Plate_Ch12_19_41.png","jpeg","ok","2157 -> 544 KB, now .jpg"
"LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png","png256","ok","1756 -> 681 KB"
"LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.png","jpeg","ok","2396 -> 569 KB, now .jpg"
"LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.png","jpeg","ok","2313 -> 575 KB, now .jpg"
"LSE_B18_Raw_vs_Charged_Biochar_Ch18.png","jpeg","ok","2630 -> 579 KB, now .jpg"
"LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","png256","ok","1869 -> 607 KB"
"LSE_B22_Top_Dress_Layer_Cake_Ch24.png","jpeg","ok","2638 -> 680 KB, now .jpg"
"LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","png256","ok","2184 -> 760 KB"
"LSE_B24_Companion_Planting_Mechanism_vs_Folklore_Ch26.png","jpeg","ok","2586 -> 615 KB, now .jpg"
"LSE_B25_Seven_Layer_Guild_Design_Texas_Peach_Ch27.png","jpeg","ok","2683 -> 700 KB, now .jpg"
"LSE_B26_Flower_Architecture_For_Beneficial_Insects_Ch28_40.png","jpeg","ok","2406 -> 599 KB, now .jpg"
"LSE_B28_North_Texas_Bed_Pivot_Calendar_Ch25_Ch29_Ch30.png","png256","ok","2876 -> 812 KB"
"LSE_B29_Herb_Grouping_Matrix_Ch31.png","png256","ok","1783 -> 650 KB"
"LSE_B30_Irrigation_Systems_Compared_Ch34.png","jpeg","ok","2477 -> 628 KB, now .jpg"
"LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png","png256","ok","2251 -> 787 KB"
"LSE_B33_Beneficial_Insect_Lifecycle_Plate_Ch40.png","jpeg","ok","2718 -> 623 KB, now .jpg"
"LSE_B36_Yellowing_Leaves_Decision_Tree_AppB.png","png256","ok","2878 -> 933 KB"
"LSE_C01_Annual_Soil_Building_Calendar_Ch49_AppC.png","png256","ok","2250 -> 761 KB"
"LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png","png256","ok","2262 -> 723 KB"
"LSE_C03_Daily_Weekly_Scouting_Route_Ch39_Ch49.png","jpeg","ok","3259 -> 714 KB, now .jpg"
