"path","location","ext","bytes","mtime"
"C:\Users\dstor\Downloads\[NDA] Benchmark Project Alchemy - Restricted Guide.md","Downloads",".md","2690953","2026-08-16T07:00:58Z"
"C:\Users\dstor\Downloads\~$file8.docx","Downloads",".docx","162","2026-07-28T02:12:10Z"
"C:\Users\dstor\Downloads\00_Image_Manifest_v0_2.xlsx","Downloads",".xlsx","247165","2026-05-28T20:29:15Z"
"C:\Users\dstor\Downloads\00-DO-THIS.md","Downloads",".md","4674","2026-08-19T21:22:09Z"
"C:\Users\dstor\Downloads\05_Current_State_Ramp_Task.md","Downloads",".md","4781","2026-07-18T18:06:35Z"
"C:\Users\dstor\Downloads\2025_Corporate_Card_Receipt_Compliance (1).xlsx","Downloads",".xlsx","84796","2026-07-26T03:28:51Z"
"C:\Users\dstor\Downloads\2025_Corporate_Card_Receipt_Compliance.xlsx","Downloads",".xlsx","84796","2026-07-23T22:23:20Z"
"C:\Users\dstor\Downloads\2025_F1040SC_2026-04-20_015834.pdf","Downloads",".pdf","80285","2026-04-20T19:58:37Z"
"C:\Users\dstor\Downloads\2025_FEDERAL_RETURN_2026-04-20_022014.pdf","Downloads",".pdf","319773","2026-04-20T20:20:14Z"
"C:\Users\dstor\Downloads\2025_FEDERAL_RETURN_2026-04-20_023257.pdf","Downloads",".pdf","328361","2026-04-20T20:32:58Z"
"C:\Users\dstor\Downloads\2025_FEDERAL_RETURN_2026-04-23_095603.pdf","Downloads",".pdf","433435","2026-04-24T03:56:02Z"
"C:\Users\dstor\Downloads\2025_FEDERAL_RETURN_2026-04-23_100654.pdf","Downloads",".pdf","433416","2026-04-24T04:06:54Z"
"C:\Users\dstor\Downloads\2026_Employee_Survey_Crosswalk_v2.pdf","Downloads",".pdf","204259","2026-09-08T19:44:51Z"
"C:\Users\dstor\Downloads\2e01c68f5225745ba06be58ef6ff1ae0dda1b8c10738dc253b4ef9b827a5a97f.pdf","Downloads",".pdf","172481","2026-07-29T17:03:10Z"
"C:\Users\dstor\Downloads\4d83cbc7-f17e-419a-979b-2bf5ebdadd4b.pdf","Downloads",".pdf","84137","2026-04-13T17:33:43Z"
"C:\Users\dstor\Downloads\5dbd8ccfe6b42a66567c699865ccea6a2e72a45d69e41aee89bc9ede8159680f.pdf","Downloads",".pdf","910230","2026-07-29T17:03:25Z"
"C:\Users\dstor\Downloads\A_definition.md","Downloads",".md","7219","2026-07-28T19:02:47Z"
"C:\Users\dstor\Downloads\Accounting-policy-memo.pdf","Downloads",".pdf","2346","2026-08-01T04:55:55Z"
"C:\Users\dstor\Downloads\accounts.parquet","Downloads",".parquet","29591","2026-07-17T16:21:53Z"
"C:\Users\dstor\Downloads\acl.csv","Downloads",".csv","55","2026-07-17T15:56:04Z"
"C:\Users\dstor\Downloads\Advertising.csv","Downloads",".csv","4756","2026-03-17T02:42:05Z"
"C:\Users\dstor\Downloads\alchemy-failure-record-analysis.md","Downloads",".md","31131","2026-07-23T05:00:36Z"
"C:\Users\dstor\Downloads\Aldercrest_Halcyon_Commission_Accrual_Final_Fail.xlsx","Downloads",".xlsx","2418767","2026-07-29T05:09:25Z"
"C:\Users\dstor\Downloads\Aldercrest_Halcyon_Commission_Accrual_Studio.xlsx","Downloads",".xlsx","8789606","2026-07-29T02:44:05Z"
"C:\Users\dstor\Downloads\Aldercrest_Halcyon_Commission_Accrual_Studio2.xlsx","Downloads",".xlsx","2417791","2026-07-29T03:37:00Z"
"C:\Users\dstor\Downloads\Aldercrest_Halcyon_Commission_Accrual_Studio3.xlsx","Downloads",".xlsx","2418767","2026-07-29T04:21:00Z"
"C:\Users\dstor\Downloads\All City Composite Scores - Full Year 2025.docx","Downloads",".docx","20663","2026-09-12T16:06:03Z"
