"path","location","ext","bytes","mtime","git_tracked","sha256","title","h1","words","h2","h3","imgs","toc","anchors_ok","anchors_broken","first_headings","last_headings","markers","stem"
"C:\Users\dstor\lse-repo\LSE_BOOK_1_THE_LIVING_SOIL_WORKING.html","repo",".html","489968","2026-09-19T02:06:21Z","yes","5C07E6C2B03ACEB2F1EAA097C795646AF5D46AE4B2E1F711E3D50C9F0A41D3C6","Living Soil Encyclopedia — Book 1: The Living Soil","Living Soil Encyclopedia","62137","20","102","60","yes","64/64","0","Book 1 — The Living Soil | Contents — The Living Soil | Chapter 1: From Salts to the Soil Food Web | Chapter 2: Bacteria — Decomposers and Cyclers | Chapter 3: Fungi — Networkers and Translators","Chapter 14: Greenhouse and Hoop House Design | Chapter 15: Small-Scale At-Home Indoor Growing | Chapter 16: Tool Selection, Maintenance, and Sanitation | Chapter 17: Soil Microscopy | Chapter 18: Soil Testing","_WORKING","lse book 1 the living soil"
"C:\Users\dstor\lse-repo\LSE_BOOK_2_INPUTS_AND_AMENDMENTS_WORKING.html","repo",".html","588489","2026-09-19T02:06:21Z","yes","0FAFBAB5392C5652B09A2C55D0A50873C318C76C2587BFCF3465436977D19C69","Living Soil Encyclopedia — Book 2: Inputs and Amendments","Living Soil Encyclopedia","72459","12","78","10","yes","90/90","0","Book 2 — Inputs and Amendments | Contents — Inputs and Amendments | Chapter 1: Composts | Chapter 2: Plant-Based Inputs | Chapter 3: Animal-Based Inputs","Chapter 6: Liming, Calcium, and Broad-Spectrum Mineral Amendments | Chapter 7: Sulfates, Trace Minerals, and Micronutrients | Chapter 8: Carbon, Humic Substances, and Growing Media | Chapter 9: Insecticidal, Entomopathogenic, and Physical Controls | Chapter 10: Fungicidal and Disease-Suppression Controls","_WORKING","lse book 2 inputs and amendments"
"C:\Users\dstor\lse-repo\LSE_BOOK_3_CROPS_AND_GUILDS_WORKING.html","repo",".html","566023","2026-09-19T02:06:21Z","yes","32065089BFE89CCCD12DF756EBA2FCD3A8F36DF3F25491B453A3F68013F2110C","Living Soil Encyclopedia — Book 3: Crops and Guilds","Living Soil Encyclopedia","74590","15","64","26","yes","61/61","0","Book 3 — Crops and Guilds | Contents — Crops and Guilds | Chapter 1: Companion Planting | Chapter 2: Polyculture, Edge Effect, and Guild Design | Chapter 3: Insectary, Pollinator, and Cut-Flower Habitat","Chapter 9: Cucurbits and Vining Crops | Chapter 10: Legumes, Corn, Okra, and Sweet Potato | Chapter 11: Brassicas and Leafy Greens | Chapter 12: Roots, Bulbs, and Alliums | Chapter 13: Culinary Annuals and Specialty Fruit","_WORKING","lse book 3 crops and guilds"
"C:\Users\dstor\lse-repo\LSE_BOOK_4_PLANT_HEALTH_AND_DEFENSE_WORKING.html","repo",".html","442116","2026-09-19T02:06:21Z","yes","8E6580A2A3E83B84D19DD52A664F2254A305E9FB55B4CEFCB46D56FDC1CB923D","Living Soil Encyclopedia — Book 4: Plant Health and Defense","Living Soil Encyclopedia","53276","11","74","63","yes","68/68","0","Book 4 — Plant Health and Defense | Contents — Plant Health and Defense | Chapter 1: IPM Foundations and Scouting | Chapter 2: Beneficial Predators and Habitat | Chapter 3: The Pest Encyclopedia","Chapter 5: Foliar Applications and Plant Sap Health | Chapter 6: Disease Identification and Management | Chapter 7: The Disease Encyclopedia | Chapter 8: Plant Sap Analysis and Tissue Testing | Chapter 9: Brix and Refractometry","_WORKING","lse book 4 plant health and defense"
"C:\Users\dstor\lse-repo\LSE_BOOK_5_FIELD_COMPANION_WORKING.html","repo",".html","401684","2026-09-19T02:06:21Z","yes","B6A16D883B46A9FA78B1039E3440691A1FF9165E135D822F247355BBA79CD8F4","Living Soil Encyclopedia — Book 5: The Field Companion","Living Soil Encyclopedia","48686","29","167","10","yes","42/42","0","Book 5 — The Field Companion | Contents — The Field Companion | M1-1: No-Till Bed Establishment | M1-2: Annual Top-Dress Protocol | M1-3: Compost Pile Building and Management","Chapter 1: Evidence Classes and Safe Self-Experimentation | Chapter 2: Electroculture and Plant Electrophysiology | Chapter 3: Paramagnetism in Soils | Chapter 4: Lunar Planting | Chapter 5: Future-Edition and Source-Confidence Notes","_WORKING","lse book 5 field companion"
"C:\Users\dstor\lse-repo\LSE_INTERNAL_PRODUCTION_HOLD.html","repo",".html","65032","2026-09-19T02:06:21Z","yes","F39467915AF7B22AF6F82BA391562CB53408FB1F978F58ECECBB9FC1C9B056B8","LSE Internal Production Hold","Living Soil Encyclopedia — Internal Production Hold","7410","65","10","1","no","n-a","0","Production-control sections removed from v1:No-till + comp:Cover Crop Selection + SOP mirrors | Production-control sections removed from v3:Herb chapter + LSE-223 + parallel design sections | Parallel herb module wrapper | Herb Chapter Image Plan | 7. Herb Chapter Image Plan","Companion product-label/regulatory placeholder | Companion legal/local/water placeholder | Graywater Irrigation for Gardens | Irrigation Water Salinity and Sodium Hazard | Municipal / Utility Restriction Placeholder","HOLD","lse internal production"
"C:\Users\dstor\lse-repo\LSE_VOLUME_1_FOUNDATIONS_SYSTEMS_SOURCE.html","repo",".html","429386","2026-09-19T02:06:21Z","yes","C489816BDE2CAB5283FC01F719FBF6D9C5C31E8A3721E2E37C72462FF7BAE970","Volume 1 — FOUNDATIONS & SYSTEMS","Living Soil Encyclopedia","51463","41","109","58","yes","138/338","200","Publication-Format Private Edition | How to Use This Edition | Functional Finders | Table of Contents | Private Reader Edition - v1.96/v1.98 Reader-Designed Source","7. Product-Label-Held Placeholders | 8. Legal / Table Appendix Placeholder | 9. How to Trial a Non-Consensus Practice Safely | 10. What Belongs in a Future Edition | 11. Sources and Confidence Notes","_SOURCE","lse volume 1 foundations systems"
"C:\Users\dstor\lse-repo\LSE_VOLUME_3_CROPS_IPM_DIAGNOSTICS_SOURCE.html","repo",".html","719609","2026-09-19T02:06:21Z","yes","1DA4688A15BD54EB1E175BA05B7347849E3CFCFCBF857D9BB59AAC06F601282F","Volume 3 — CROPS, IPM & DIAGNOSTICS","Volume 3 — CROPS, IPM & DIAGNOSTICS","87249","185","436","94","yes","259/259","0","Table of Contents — Volume 3 — CROPS, IPM & DIAGNOSTICS | Chapter 26: Companion Planting (Mechanism, Not Folklore) | Chapter 27: Polyculture, Edge Effect, and Guild Design | Chapter 28: The Insectary and Pollinator Guilds | Chapter 29: Crop Rotation and Succession Planning","How to Check Your Results | Storage, Shelf Life, and Lifecycle | Sourcing and Quality Checks | North Texas Growing Note | Related Topics","_SOURCE","lse volume 3 crops ipm diagnostics"
"C:\Users\dstor\lse-repo\references\marker_removal_log.md","repo",".md","55549","2026-09-19T02:06:21Z","yes","5C57C2D5D502CED134EF2C670A426A442EE3C2BC0ECD10A68CB77A39AB272C92","","","8076","0","0","0","no","n-a","0","Reconciliation | Known open item — reader-visible bracket placeholders (front-matter phase) | BOOK_1 | BOOK_5","Reconciliation | Known open item — reader-visible bracket placeholders (front-matter phase) | BOOK_1 | BOOK_5","","marker removal log"
"C:\Users\dstor\OneDrive\Desktop\LSE_FINAL_IMAGE_AND_SPLIT_FIX\Chatgpt  Book update\LSE_FIVE_BOOK_WORKING_SET\Final Formatting of Book\LSE_BOOK_1_THE_LIVING_SOIL_WORKING.html","LSE_FINAL_IMAGE_AND_SPLIT_FIX",".html","489256","2026-07-28T15:35:59Z","n-a","AE88EDF3B4A37088C9947A456727A033C81C1C2C1A9E0C19B496B3A0DDB6C10E","Living Soil Encyclopedia — Book 1: The Living Soil","Living Soil Encyclopedia","62211","21","102","60","yes","64/64","0","Book 1 — The Living Soil | How to use this book | Contents — The Living Soil | Chapter 1: From Salts to the Soil Food Web | Chapter 2: Bacteria — Decomposers and Cyclers","Chapter 14: Greenhouse and Hoop House Design | Chapter 15: Small-Scale At-Home Indoor Growing | Chapter 16: Tool Selection, Maintenance, and Sanitation | Chapter 17: Soil Microscopy | Chapter 18: Soil Testing","_WORKING","lse book 1 the living soil"
