"filename","family","license","license_class","license_note","status_flag","status_note","attribution","institution","ledger","verdict","used_by","dims","kb","path"
"B30_001__LSE_FOUND_B26_ABIOTIC_Pepper_Sunscald_ExposedFruit_DonFerrin_Bugwood_CC-BY-3.jpg","third-party","CC-BY-3","BY","Attribution 3.0",,"","Bugwood","Bugwood","open licence","clear","Book 4","2000x1500","439","C:\Users\dstor\lse-repo\assets\B30_001__LSE_FOUND_B26_ABIOTIC_Pepper_Sunscald_ExposedFruit_DonFerrin_Bugwood_CC-BY-3.jpg"
"B30_002__LSE_FOUND_B26_ABIOTIC_Tomato_FruitCracking_IrregularIrrigationCue_Fructibus_CC0.jpg","third-party","CC0","CC0","Public domain dedication",,"","Fructibus","","open licence","clear","Book 4","1000x918","47","C:\Users\dstor\lse-repo\assets\B30_002__LSE_FOUND_B26_ABIOTIC_Tomato_FruitCracking_IrregularIrrigationCue_Fructibus_CC0.jpg"
"B30_003__LSE_FOUND_B26_ABIOTIC_Tomato_Catfacing_FruitDeformity_ParthasarathySeethapathy_CC-BY-SA-4.jpg","third-party","CC-BY-SA-4","SA","ShareAlike 4.0",,"","Parthasarathy Seethapathy","","open licence, ShareAlike noted","clear","Book 4","926x1000","68","C:\Users\dstor\lse-repo\assets\B30_003__LSE_FOUND_B26_ABIOTIC_Tomato_Catfacing_FruitDeformity_ParthasarathySeethapathy_CC-BY-SA-4.jpg"
"B30_004__LSE_FOUND_B26_ABIOTIC_Tomato_HailDamage_BruisedBrokenStems_DwightSipler_CC-BY-2.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Dwight Sipler","","open licence","clear","Book 4","742x1000","128","C:\Users\dstor\lse-repo\assets\B30_004__LSE_FOUND_B26_ABIOTIC_Tomato_HailDamage_BruisedBrokenStems_DwightSipler_CC-BY-2.jpg"
"B30_005__LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg","third-party","CC0","CC0","Public domain dedication",,"","B137","","open licence","clear","Book 1","750x1000","108","C:\Users\dstor\lse-repo\assets\B30_005__LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg"
"B30_006__LSE_FOUND_B26_ROOTS_Tomato_RootKnotNematode_GalledRoots_PlantPestsDiseases_CC0.jpg","third-party","CC0","CC0","Public domain dedication",,"","Plant Pests Diseases","","open licence","clear","Book 4","1000x750","151","C:\Users\dstor\lse-repo\assets\B30_006__LSE_FOUND_B26_ROOTS_Tomato_RootKnotNematode_GalledRoots_PlantPestsDiseases_CC0.jpg"
"B30_007__LSE_FOUND_B26_COMPOST_Compost_MaturityContamination_TemperatureInspection_StephenAusmus_USDA-PD.jpg","third-party","USDA-PD","PD","US government work, public domain",,"","Stephen Ausmus","USDA","open licence","clear","Book 2","427x640","94","C:\Users\dstor\lse-repo\assets\B30_007__LSE_FOUND_B26_COMPOST_Compost_MaturityContamination_TemperatureInspection_StephenAusmus_USDA-PD.jpg"
"B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg","third-party","USDA-PD","PD","US government work, public domain",,"","Lance Cheung","USDA","open licence","clear","Book 1","1000x648","84","C:\Users\dstor\lse-repo\assets\B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg"
"B30_009__LSE_FOUND_B26_WATER_DripIrrigation_WettingPattern_PeggyGreb_USDA-PD.jpg","third-party","USDA-PD","PD","US government work, public domain",,"","Peggy Greb","USDA","open licence","clear","Book 1","427x640","226","C:\Users\dstor\lse-repo\assets\B30_009__LSE_FOUND_B26_WATER_DripIrrigation_WettingPattern_PeggyGreb_USDA-PD.jpg"
"B30_010__LSE_FOUND_B26_PEST_SquashBug_EggCluster_UndersidePumpkinLeaf_Bdm25_CC-BY-SA-4.jpg","third-party","CC-BY-SA-4","SA","ShareAlike 4.0",,"","Bdm25","","open licence, ShareAlike noted","clear","Book 4","1000x602","62","C:\Users\dstor\lse-repo\assets\B30_010__LSE_FOUND_B26_PEST_SquashBug_EggCluster_UndersidePumpkinLeaf_Bdm25_CC-BY-SA-4.jpg"
"B30_011__LSE_FOUND_B26_PEST_SquashBug_EggCluster_AnasaTristis_BeatrizMoisset_CC-BY-SA-4.jpg","third-party","CC-BY-SA-4","SA","ShareAlike 4.0",,"","Beatriz Moisset","","open licence, ShareAlike noted","clear","Book 4","609x595","55","C:\Users\dstor\lse-repo\assets\B30_011__LSE_FOUND_B26_PEST_SquashBug_EggCluster_AnasaTristis_BeatrizMoisset_CC-BY-SA-4.jpg"
"B30_012__LSE_FOUND_B26_PEST_SquashBug_Nymphs_OnSummerSquash_Pollinator_CC-BY-2-5.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Pollinator","","open licence","clear","Book 4","1000x747","77","C:\Users\dstor\lse-repo\assets\B30_012__LSE_FOUND_B26_PEST_SquashBug_Nymphs_OnSummerSquash_Pollinator_CC-BY-2-5.jpg"
"B30_013__LSE_FOUND_B26_PEST_SquashBug_Adult_MarginalResolution_Downtowngal_CC0.jpg","third-party","CC0","CC0","Public domain dedication",,"","Downtowngal","","open licence","clear","Book 4","428x540","41","C:\Users\dstor\lse-repo\assets\B30_013__LSE_FOUND_B26_PEST_SquashBug_Adult_MarginalResolution_Downtowngal_CC0.jpg"
"B30_022__LSE_FOUND_B27_ABIOTIC_Tomato_2-4DDrift_CuppedNewGrowth_MaryAnnHansen-VirginiaTech-Bugwood_BW194939.jpg","third-party","BW194939","GRANTED","Bugwood image request 194939, approved 2026-09-22",,"","Mary Ann Hansen-Virginia Tech-Bugwood","Bugwood","granted, Bugwood image request 194939, approved 2026-09-22","clear","Book 4","3072x2039","1354","C:\Users\dstor\lse-repo\assets\B30_022__LSE_FOUND_B27_ABIOTIC_Tomato_2-4DDrift_CuppedNewGrowth_MaryAnnHansen-VirginiaTech-Bugwood_BW194939.jpg"
"B30_023__LSE_FOUND_B27_ABIOTIC_Tomato_GlyphosateInjury_YellowDistortedNewGrowth_NathanHoward-UKentucky-Bugwood_BW194939.jpg","third-party","BW194939","GRANTED","Bugwood image request 194939, approved 2026-09-22",,"","Nathan Howard-UKentucky-Bugwood","Bugwood","granted, Bugwood image request 194939, approved 2026-09-22","clear","Book 4","3071x2300","1070","C:\Users\dstor\lse-repo\assets\B30_023__LSE_FOUND_B27_ABIOTIC_Tomato_GlyphosateInjury_YellowDistortedNewGrowth_NathanHoward-UKentucky-Bugwood_BW194939.jpg"
"B30_025__LSE_FOUND_B27_ROOTS_Tomato_FusariumWilt_VascularBrowningStemSplit_NCSU-IngaMeadows_GRANTED-NCSU.jpg","third-party","GRANTED-NCSU","GRANTED","NC State Extension permission, via Frank Louws",,"","NCSU-Inga Meadows","NCSU","granted, NC State Extension permission, via Frank Louws","clear","Book 4","600x450","37","C:\Users\dstor\lse-repo\assets\B30_025__LSE_FOUND_B27_ROOTS_Tomato_FusariumWilt_VascularBrowningStemSplit_NCSU-IngaMeadows_GRANTED-NCSU.jpg"
