Image ID,Manifest file name,Original filename searched,Current manifest status,Priority,Source found? Yes / No / Partial,Original source page URL,Repository / hosting site,"Direct image file URL, if available","Secondary mirror URL, if relevant",Creator / photographer,Rights holder / source organization,Catalog ID / image ID,Image title on source page,Subject ID on source page,Crop / organism / disease / disorder identified by source,ID confidence: High / Medium / Low / VERIFY,License name,License version,License URL,Commercial use allowed? Yes / No / VERIFY,Modification/cropping allowed? Yes / No / VERIFY,Attribution required? Yes / No / VERIFY,Exact attribution text to use,Credit line draft,Special restrictions,ShareAlike/GFDL/NC/ND risk,Contains identifiable person? Yes / No,Contains watermark/catalog ID? Yes / No,Production recommendation: Use candidate / Hold / Reject / Replace,Reason for recommendation,Evidence note: quote or summarize source rights statement,Search terms tried,Verification still needed,Replacement candidate needed? Yes / No,Notes
B25_01,B25_01_Tomato_EarlyBlight_TargetLesions_CC-BY-3.0_Clemson-USDAExt.jpg,B25_01_Tomato_EarlyBlight_TargetLesions_CC-BY-3.0_Clemson-USDAExt.jpg,Use,High,Yes,https://www.insectimages.org/browse/detail.cfm?imgnum=1233052,Insect Images / Bugwood Network; Wikimedia Commons mirror,https://commons.wikimedia.org/wiki/Special:Redirect/file/Alternaria_solani_-_leaf_lesions.jpg,https://commons.wikimedia.org/wiki/File:Alternaria_solani_-_leaf_lesions.jpg,Clemson University - USDA Cooperative Extension Slide Series,Insect Images / Bugwood Network / University of Georgia / USDA Forest Service,1233052,Alternaria solani - leaf lesions.jpg,Alternaria solani,Tomato leaf showing typical target-shaped lesions of Alternaria solani / early blight,High,Creative Commons Attribution 3.0 United States,3.0 US,https://creativecommons.org/licenses/by/3.0/us/deed.en,Yes,Yes,Yes,"Clemson University - USDA Cooperative Extension Slide Series, Bugwood.org / InsectImages.org, CC BY 3.0 US. Changes, if any, noted.","Clemson University - USDA Cooperative Extension Slide Series, Bugwood.org / InsectImages.org, CC BY 3.0 US, via Wikimedia Commons.","Give appropriate credit, link license, indicate changes; do not imply endorsement.",None identified; attribution required.,No,No,Use candidate,"Source, creator, Bugwood catalog ID, license, commercial use, modification rights, and attribution are verified from source/mirror record.","Source page states Creative Commons Attribution license and says share/remix are permitted with attribution, license link, and change notice. Commons states this file was originally posted as Image Number 1233052 at Insect Images and was reviewed under the stated license.",B25_01 Tomato EarlyBlight Target Lesions Clemson USDAExt; Alternaria solani leaf lesions; InsectImages 1233052; Clemson USDA Cooperative Extension Slide Series early blight target lesions Bugwood,None for rights; final plant-pathology caption review before publication.,No,Use in tomato early blight comparison or disease atlas.
B25_02,B25_02_Tomato_SeptoriaLeafSpot_CC0_Wolan268_CONDITIONAL.jpg,B25_02_Tomato_SeptoriaLeafSpot_CC0_Wolan268_CONDITIONAL.jpg,Hold,High,Yes,https://commons.wikimedia.org/wiki/File:Tomato_septoria_leaf_spot_3006.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/Special:Redirect/file/Tomato_septoria_leaf_spot_3006.jpg,,Wolan268,Wolan268 / Wikimedia Commons,Tomato_septoria_leaf_spot_3006.jpg,Tomato septoria leaf spot 3006.jpg,Septoria leaf spot fungus on tomato leaves,Tomato leaves with Septoria leaf spot fungus,Medium,Creative Commons CC0 1.0 Universal Public Domain Dedication,1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Yes,Yes,No,"No attribution required by CC0; recommended credit: Wolan268, CC0, via Wikimedia Commons.","Wolan268, CC0, via Wikimedia Commons.",No copyright attribution requirement under CC0; source credit recommended for traceability.,None.,No,No,Use candidate,"Rights are clean under CC0, but disease ID is based on self-published Commons source rather than extension/Bugwood record; use after pathology-caption review.","Source page states CC0/public-domain dedication and says the work may be copied, modified, distributed, and used commercially without asking permission.",B25_02 Tomato Septoria Leaf Spot CC0 Wolan268; Tomato septoria leaf spot 3006; Wolan268 Septoria leaf spot Commons,Pathology ID/caption review; source is self-published own work.,No,Rights-clean; confidence medium due self-published disease ID.
B25_03,B25_03_Tomato_LateBlight_FoliarLesions_CC0_ScotNelson.jpg,B25_03_Tomato_LateBlight_FoliarLesions_CC0_ScotNelson.jpg,Use,High,Yes,https://commons.wikimedia.org/wiki/File:Late_blight_of_tomato_caused_by_Phytophthora_infestans_(5815188381).jpg,Wikimedia Commons / Flickr,https://commons.wikimedia.org/wiki/Special:Redirect/file/Late_blight_of_tomato_caused_by_Phytophthora_infestans_(5815188381).jpg,https://www.flickr.com/photos/scotnelson/5815188381/,Scot Nelson,Scot Nelson / Wikimedia Commons VRT,Flickr 5815188381,Late blight of tomato caused by Phytophthora infestans (5815188381).jpg,Phytophthora infestans,Late blight of tomato caused by Phytophthora infestans,High,Creative Commons CC0 1.0 Universal Public Domain Dedication,1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Yes,Yes,No,"No attribution required by CC0; recommended credit: Scot Nelson, CC0, via Wikimedia Commons/Flickr.","Scot Nelson, CC0, via Wikimedia Commons/Flickr.",No copyright attribution requirement under CC0; source credit recommended for traceability.,None.,No,No,Use candidate,"VRT-backed CC0 source page identifies creator, source, disease, and commercial/modification rights.","Source page states CC0/public-domain dedication and says the work may be copied, modified, distributed, and used commercially without asking permission. Commons also states Scot Nelson released Flickr photostream content under CC0 through VRT.",B25_03 Tomato Late Blight Scot Nelson; Phytophthora infestans 5815188381; Scot Nelson late blight tomato CC0,None for rights; final caption review.,No,Strong rights-cleared late-blight candidate.
B25_04,B25_04_Tomato_LateBlight_FruitRot_CC0_ScotNelson.jpg,B25_04_Tomato_LateBlight_FruitRot_CC0_ScotNelson.jpg,Use,High,Yes,https://commons.wikimedia.org/wiki/File:Tomato_late_blight_fruit_rot_(5816739820).jpg,Wikimedia Commons / Flickr,https://commons.wikimedia.org/wiki/Special:Redirect/file/Tomato_late_blight_fruit_rot_(5816739820).jpg,https://www.flickr.com/photos/scotnelson/5816739820/,Scot Nelson,Scot Nelson / Wikimedia Commons VRT,Flickr 5816739820,Tomato late blight fruit rot (5816739820).jpg,Phytophthora infestans,Late blight fruit rot on tomato caused by Phytophthora infestans,High,Creative Commons CC0 1.0 Universal Public Domain Dedication,1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Yes,Yes,No,"No attribution required by CC0; recommended credit: Scot Nelson, CC0, via Wikimedia Commons/Flickr.","Scot Nelson, CC0, via Wikimedia Commons/Flickr.",No copyright attribution requirement under CC0; source credit recommended for traceability.,None.,No,No,Use candidate,"VRT-backed CC0 source page identifies creator, source, disease, and commercial/modification rights.","Source page states CC0/public-domain dedication and says the work may be copied, modified, distributed, and used commercially without asking permission. Commons also states Scot Nelson released Flickr photostream content under CC0 through VRT.",B25_04 Tomato late blight fruit rot Scot Nelson; tomato late blight fruit rot 5816739820,None for rights; final caption review.,No,Fruit symptom counterpart to B25_03.
B25_05,B25_05_Pepper_BacterialLeafSpot_Xanthomonas_CC0_ScotNelson.jpg,B25_05_Pepper_BacterialLeafSpot_Xanthomonas_CC0_ScotNelson.jpg,Use,High,Partial,https://commons.wikimedia.org/wiki/File:Bacterial_leaf_spot_of_pepper_(14954536360).jpg,Wikimedia Commons / Flickr,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bacterial_leaf_spot_of_pepper_(14954536360).jpg,https://www.flickr.com/photos/scotnelson/14954536360/,Chelsea Hardin listed in description; Scot Nelson listed as author/uploader,Scot Nelson / Wikimedia Commons VRT; VERIFY Chelsea Hardin rights chain if separate,Flickr 14954536360,Bacterial leaf spot of pepper (14954536360).jpg,Xanthomonas sp.; Capsicum,Bacterial leaf spot of pepper; pathogen Xanthomonas sp.,High,Creative Commons CC0 1.0 Universal Public Domain Dedication,1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Yes,Yes,No,"No attribution required by CC0; recommended credit: Chelsea Hardin / Scot Nelson, CC0, via Wikimedia Commons/Flickr.","Chelsea Hardin / Scot Nelson, CC0, via Wikimedia Commons/Flickr.",No copyright attribution requirement under CC0; source credit recommended. Rights chain should be checked because page description says photograph by Chelsea Hardin while VRT release is from Scot Nelson's photostream.,"None under stated CC0, but rights-chain note remains.",No,No,Hold,"License appears CC0/VRT-backed, but creator/rights-holder chain is partially ambiguous due Chelsea Hardin photo credit vs. Scot Nelson release; hold until production confirms source attribution/rights chain is acceptable.","Commons page states the file is CC0 and may be copied/modified/used commercially, while also listing 'Photograph by Chelsea Hardin' and Author Scot Nelson.",B25_05 Pepper BacterialLeafSpot Xanthomonas CC0 ScotNelson; Bacterial leaf spot pepper 14954536360; Chelsea Hardin bacterial leaf spot pepper Scot Nelson,Confirm whether Chelsea Hardin is photographer only or separate rights holder; confirm final credit line.,No,Rights likely usable but keep Hold until attribution/rights chain is clean.
B25_06,B25_06_Tomato_BacterialCanker_CC0_ScotNelson_CONDITIONAL.jpg,B25_06_Tomato_BacterialCanker_CC0_ScotNelson_CONDITIONAL.jpg,Hold,High,Yes,https://commons.wikimedia.org/wiki/File:Bacterial_canker_of_tomato_caused_by_Corynebacterium_michiganense_pv._michiganense_(9777392932).jpg,Wikimedia Commons / Flickr,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bacterial_canker_of_tomato_caused_by_Corynebacterium_michiganense_pv._michiganense_(9777392932).jpg,https://www.flickr.com/photos/scotnelson/9777392932/,Scot Nelson,Scot Nelson / Wikimedia Commons VRT,Flickr 9777392932,Bacterial canker of tomato caused by Corynebacterium michiganense pv. michiganense (9777392932).jpg,Corynebacterium/Clavibacter michiganense pv. michiganense,Bacterial canker of tomato,High,Creative Commons CC0 1.0 Universal Public Domain Dedication,1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Yes,Yes,No,"No attribution required by CC0; recommended credit: Scot Nelson, CC0, via Wikimedia Commons/Flickr.","Scot Nelson, CC0, via Wikimedia Commons/Flickr.",No copyright attribution requirement under CC0; source credit recommended for traceability.,None.,No,No,Use candidate,Source page verifies creator/source and CC0 commercial/modification rights; use modern pathogen name in manuscript if needed.,"Source page states CC0/public-domain dedication and says the work may be copied, modified, distributed, and used commercially without asking permission. Commons also states Scot Nelson released Flickr photostream content under CC0 through VRT.",B25_06 Tomato Bacterial Canker CC0 ScotNelson; bacterial canker tomato 9777392932; Corynebacterium michiganense tomato Scot Nelson,Update disease taxonomy in caption if editorial standards require Clavibacter michiganensis subsp. michiganensis.,No,Rights clear; taxonomy/caption review only.
B25_07,B25_07_Tomato_TSWV_RingspotCue_CC0_Downtowngal.jpg,B25_07_Tomato_TSWV_RingspotCue_CC0_Downtowngal.jpg,Use,High,Yes,https://commons.wikimedia.org/wiki/File:Tomato_with_Tomato_Spotted_Wilt_Virus.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/Special:Redirect/file/Tomato_with_Tomato_Spotted_Wilt_Virus.jpg,,Downtowngal,Downtowngal / Wikimedia Commons,Tomato_with_Tomato_Spotted_Wilt_Virus.jpg,Tomato with Tomato Spotted Wilt Virus.jpg,Tomato spotted wilt virus / Tospovirus,"Tomato with tomato spotted wilt virus grown in Los Angeles, California",Medium,Creative Commons CC0 1.0 Universal Public Domain Dedication,1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Yes,Yes,No,"No attribution required by CC0; recommended credit: Downtowngal, CC0, via Wikimedia Commons.","Downtowngal, CC0, via Wikimedia Commons.",No copyright attribution requirement under CC0; source credit recommended.,None.,No,No,Use candidate,"Rights are clean under CC0; ID is source-stated but self-published, so use with diagnostic caption review.","Source page states CC0/public-domain dedication and says the work may be copied, modified, distributed, and used commercially without asking permission.",B25_07 Tomato TSWV RingspotCue CC0 Downtowngal; Tomato with Tomato Spotted Wilt Virus Commons; Downtowngal TSWV tomato CC0,Pathology/caption review; source is self-published own work.,No,"Use as ringspot cue, not sole definitive diagnosis."
B25_08,B25_08_Basil_TSWV_MosaicRingspots_CC0_ScotNelson.jpg,B25_08_Basil_TSWV_MosaicRingspots_CC0_ScotNelson.jpg,Use,High,Yes,https://commons.wikimedia.org/wiki/File:Sweet_basil_(Ocimum_basilicum)_-_Tomato_spotted_wilt_virus_(TSWV).jpg,Wikimedia Commons / Flickr,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sweet_basil_(Ocimum_basilicum)_-_Tomato_spotted_wilt_virus_(TSWV).jpg,https://www.flickr.com/photos/scotnelson/,Scot Nelson,Scot Nelson / Wikimedia Commons VRT,Sweet_basil_(Ocimum_basilicum)_-_Tomato_spotted_wilt_virus_(TSWV).jpg,Sweet basil (Ocimum basilicum) - Tomato spotted wilt virus (TSWV).jpg,Tomato spotted wilt virus (TSWV),"Sweet basil with Tomato spotted wilt virus symptoms: foliar mosaic, ringspots, chlorosis",High,Creative Commons CC0 1.0 Universal Public Domain Dedication,1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Yes,Yes,No,"No attribution required by CC0; recommended credit: Scot Nelson, CC0, via Wikimedia Commons/Flickr.","Scot Nelson, CC0, via Wikimedia Commons/Flickr.",No copyright attribution requirement under CC0; source credit recommended.,None.,No,No,Use candidate,"Source page verifies creator/source, disease/symptom description, and CC0 rights.","Source page states CC0/public-domain dedication and says the work may be copied, modified, distributed, and used commercially without asking permission. Commons also states Scot Nelson released Flickr photostream content under CC0 through VRT.",B25_08 Basil TSWV Mosaic Ringspots CC0 ScotNelson; Sweet basil Tomato spotted wilt virus Scot Nelson CC0,None for rights; final plant-pathology caption review.,No,Useful basil viral symptom candidate.
B25_09,B25_09_Cucumber_CMV_FruitMosaic_CC-BY-3.0US_WilliamBrown.jpg,B25_09_Cucumber_CMV_FruitMosaic_CC-BY-3.0US_WilliamBrown.jpg,Use,High,Yes,https://www.insectimages.org/browse/detail.cfm?imgnum=5359721,Insect Images / Bugwood Network; Wikimedia Commons mirror,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cucumber_mosaic_virus_symptoms.jpg,https://commons.wikimedia.org/wiki/File:Cucumber_mosaic_virus_symptoms.jpg,William M. Brown Jr.,Insect Images / Bugwood Network / University of Georgia / USDA Forest Service,5359721,Cucumber mosaic virus symptoms.jpg,Cucumber mosaic symptoms on cucumber fruit,Cucumber mosaic virus symptoms on cucumber fruit,High,Creative Commons Attribution 3.0 United States,3.0 US,https://creativecommons.org/licenses/by/3.0/us/deed.en,Yes,Yes,Yes,"William M. Brown Jr., Bugwood.org / InsectImages.org, CC BY 3.0 US. Changes, if any, noted.","William M. Brown Jr., Bugwood.org / InsectImages.org, CC BY 3.0 US, via Wikimedia Commons.","Give appropriate credit, link license, indicate changes; do not imply endorsement.",None identified; attribution required.,No,No,Use candidate,"Bugwood catalog ID, creator, source, license, and commercial/modification rights are verified from source/mirror record.","Source page states Creative Commons Attribution license and says share/remix are permitted with attribution, license link, and change notice. Commons states original Insect Images ID 5359721 and license-review confirmation.",B25_09 Cucumber CMV Fruit Mosaic William Brown; Cucumber mosaic virus symptoms 5359721; William M. Brown Jr. cucumber mosaic virus Bugwood,None for rights; final caption review.,No,Use for CMV fruit symptom panel.
B25_10,B25_10_Zucchini_ZYMV_DeformedFruit_CC0_Downtowngal.jpg,B25_10_Zucchini_ZYMV_DeformedFruit_CC0_Downtowngal.jpg,Use,High,Yes,https://commons.wikimedia.org/wiki/File:Zucchini_with_Zucchini_Yellow_Mosaic_Virus.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/Special:Redirect/file/Zucchini_with_Zucchini_Yellow_Mosaic_Virus.jpg,,Downtowngal,Downtowngal / Wikimedia Commons,Zucchini_with_Zucchini_Yellow_Mosaic_Virus.jpg,Zucchini with Zucchini Yellow Mosaic Virus.jpg,Zucchini yellow mosaic virus; zucchini,Zucchini fruit deformation associated with Zucchini yellow mosaic virus,Medium,Creative Commons CC0 1.0 Universal Public Domain Dedication,1.0,https://creativecommons.org/publicdomain/zero/1.0/deed.en,Yes,Yes,No,"No attribution required by CC0; recommended credit: Downtowngal, CC0, via Wikimedia Commons.","Downtowngal, CC0, via Wikimedia Commons.",No copyright attribution requirement under CC0; source credit recommended.,None.,No,No,Use candidate,"Rights are clean under CC0, but disease ID is self-published; use after pathology-caption review.","Source page states CC0/public-domain dedication and says the work may be copied, modified, distributed, and used commercially without asking permission.",B25_10 Zucchini ZYMV DeformedFruit CC0 Downtowngal; Zucchini with Zucchini Yellow Mosaic Virus Commons,Pathology/caption review; source is self-published own work.,No,"Use as symptom cue, not lab-confirmed diagnosis."
