canonical_id,canonical_book,canonical_file,mirror_book,mirror_chapter,mirror_id,canonical_text_sha256,status,mirror_present
h1-m1-1-no-till-bed-establishment,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,1,Chapter 10,mirror-b1-m1-1-h1-m1-1-no-till-bed-establishment,f5e77c64d7ce99f3c5a975431366f7dfd790121b559d957706ab4e16abebfe91,generated from canonical source,True
h1-m1-2-annual-top-dress-protocol,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,1,Chapter 10,mirror-b1-m1-2-h1-m1-2-annual-top-dress-protocol,e4099794c76975abf90d667f6a493262941a24b94c3092796506692886292696,generated from canonical source,True
h1-m4-4-cover-crop-planting-and-termination-sop,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,1,Chapter 10,mirror-b1-m4-4-h1-m4-4-cover-crop-planting-and-termination-sop,5d7f3b71947ee41f79f4023f85a8ac8b7fb23e3193960d2690bb3cf26a43848b,generated from canonical source,True
h1-m3-3-irrigation-system-maintenance-sop,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,1,Chapter 12,mirror-b1-m3-3-h1-m3-3-irrigation-system-maintenance-sop,f78fe38ce27e4b69ccd59ba815b4aa58c2aed80bc55077121bcfb94dfc8dd235,generated from canonical source,True
h1-m4-1-garden-sanitation-and-tool-hygiene-sop,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,1,Chapter 16,mirror-b1-m4-1-h1-m4-1-garden-sanitation-and-tool-hygiene-sop,48256488d77632d5b146d7a00237f3f2f04285223e725a08e337f748d7a53d1e,generated from canonical source,True
h1-m4-2-tool-maintenance-and-sharpening-sop,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,1,Chapter 16,mirror-b1-m4-2-h1-m4-2-tool-maintenance-and-sharpening-sop,23d06d7765c7df5cb3c3628b99f6a6943b7b9230fae453e6cecd6b0ee143e3ae,generated from canonical source,True
h1-m1-3-compost-pile-building-and-management,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,2,Chapter 1,mirror-b2-m1-3-h1-m1-3-compost-pile-building-and-management,713214e35b35d79eab41034354a9a64d467679e39f3a321c12162432b5c2f989,generated from canonical source,True
h1-lse-163-m2-3-mycorrhizal-inoculation-at-transplant,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,2,Chapter 4,mirror-b2-m2-3-h1-lse-163-m2-3-mycorrhizal-inoculation-at-transplant,d24576902e195b0f0fb88ade2ccd2c9393b4edeaef921793d1df36ac015b21ce,generated from canonical source,True
h1-lse-161-m2-1-aact-brewing-protocol,5,LSE_BOOK_5_FIELD_COMPANION_WORKING.html,2,Chapter 5,mirror-b2-m2-1-h1-lse-161-m2-1-aact-brewing-protocol,11660bc5c368db77903fd26ab5279040ca9837ca1ea86293516c8dad0a8073c9,generated from canonical source,True
h1-bacillus-thuringiensis-bt-kurstaki-israelensis-aizawai,4,LSE_BOOK_4_PLANT_HEALTH_AND_DEFENSE_WORKING.html,2,Chapter 9,mirror-b2-control-h1-bacillus-thuringiensis-bt-kurstaki-israelensis-aizawai,957fac692c2765afbdf587d197c663cba3dd691a4360235202db987636af162d,generated from canonical source,True
