source,destination,action,words,text_sha256
v1:h2-chapter-1-from-salts-to-the-soil-food-web,Book 1 Chapter 1,move/restructure,1672,a232d188b11d0a05bad90dfc22c698725efd0e2e5b36ec13292195927ee27b37
v1:h2-chapter-3-bacteria-decomposers-and-cyclers,Book 1 Chapter 2,move/restructure,1846,57c3c1ae64a3516e9107e5d61b572e22cce94ee5f25133cdcc19bb2054b91ac7
v1:h2-chapter-4-fungi-networkers-and-translators,Book 1 Chapter 3,move/restructure,1327,34eee2611fa48d4402febebe95633613310136c9092207e9219f70dd6ba16324
v1:h2-chapter-6-mycorrhizal-symbiosis-and-plant-immune-function,Book 1 Chapter 4,move/restructure,1649,b430b1c68aa7c2876f1b5da2ce3971f71b91b80b72e28f03ec8d0c190036e509
v1:h1-lse-009-successional-ecology-in-soils,Book 1 Chapter 5,move/nest,1184,cd8ac9a42d21d08550be318763828f221877860fa7d40c2eec7629b347e527ee
v1:Chapter5 + LSE-009,Book 1 Chapter 5,preserve + nest,2816,581ebfd02096f03b863394477660bccb550d79fc9fa3f6c297ce1e637ef61443
v1:h1-lse-025-permaculture,Book 1 Chapter 6,move/nest,961,8e484e6d8315487ea04a6eb89f65c788675f555536bc3a10d3b5288a8696db1b
v1:h1-lse-027-biodynamics,Book 1 Chapter 6,move/nest,978,b04fb8f09d427c35846c7b893b75e65aea326177c98da058e26d073ec9e356e5
v2:h1-lse-026-coots-mix-clackamas-coot,Book 1 Chapter 6,move/nest,984,d036bfd854c59bd6ede227286bc4c2ab01985c5873af6098ca7fb2dc1c21a3cb
v1:Schools + trailing references + v2:Coots + practitioner methods,Book 1 Chapter 6,consolidate/nest,9152,d834962f7d26b9fa3223d35fa1ca7bbca9977c446b2c22628a680118635f622f
v1:h1-site-assessment,Book 1 Chapter 7,move/nest,822,b8f988d90af7f5310f5c0c56e7a0f2ea18e274b236c69c7be9e854fafb8346f1
v1:Reading Site + Site Assessment,Book 1 Chapter 7,consolidate,2597,43600920684d26d4d7af6566973a420e3b5515872d7a650c487582f063d269a7
v1:Raised Beds,Book 1 Chapter 8,move/restructure,3298,4d93515a27fe4953da03caf66ed4694085fd80c8b96cdff675594761212e9ef2
v2:h1-soil-recipes-by-crop-type,Book 1 Chapter 9,move/nest,931,752325bc99a3082689f4934cae5a41a40b4f8c8ce23fdba1bb73f7bdc31f0eef
v1:Containers/Recipes + v2:Soil Recipes,Book 1 Chapter 9,consolidate,2922,ed67fc4c0004fe42b9d005fb07626808c0ebcae3038a25552ca86714af96c421
comp:h1-cover-crop-selection,Book 1 Chapter 10,move/nest,797,209f1dc01d226cc7b9e6b7cfde3e09aa3bd93ab659004f481fe5ead2de51f949
v1:No-till + comp:Cover Crop Selection + SOP mirrors,Book 1 Chapter 10,consolidate + mirror,6422,59cba8f2cb84157152a46dc603ecbecdb0096413dec1d73a8280ca7b9a3eab52
v1:h1-soil-water-physics,Book 1 Chapter 11,move/nest,750,f4c98fc1e48f8bede154874e106c1238c316f8f97ea7081d4305912a711ce790
v1:Water Physics + trailing entry,Book 1 Chapter 11,consolidate,4425,057c051ba94fbc9b4c5a5944d2a367b8d7000864d9e8e879e1d0f372c495f250
v1:Irrigation + M3-3 mirror,Book 1 Chapter 12,preserve + mirror,8512,6081ef93b239bdc0595769b5b12a11d911879756dd89831293c43aa8ef6cbeb3
v1:h1-rainwater-harvesting-for-irrigation,Book 1 Chapter 13,move/nest,610,376beeabc2b6f3d1fd8b3bb6106c4bdcdf2910327a6ffffa994456266ba6a5e1
v1:Rainwater/Hard Water + trailing entry,Book 1 Chapter 13,consolidate,3203,2a51800a69f2b247e47ec590830dbb88aab52a60fe59fdf3fd38ff8d83660fa7
v1:h1-lse-227-greenhouse-hoop-house-design,Book 1 Chapter 14,move/nest,1138,0721ccf332a8a7e5fd671ff87898f4fceba4ace5c6dbcd82b47e67c3af0ec526
v1:Greenhouse + LSE-227,Book 1 Chapter 14,full merge,2159,eda6d0dfebb79d7358fe054152b56628b8ff5033d87fd99e716cbd4023b39334
v1:Indoor Growing,Book 1 Chapter 15,move/restructure,1639,21611255de16f51f981198869bfa80044c7b78c051a18e2ae7dddbf17b949fdc
v1:Tools + M4-1/M4-2 mirrors,Book 1 Chapter 16,strengthen + mirror,3470,9f8e20f774d63cbbb4bfb7167394339fa78fde119288437cfefcccd023a4c852
v3:h1-soil-microscopy-equipment,Book 1 Chapter 17,move/nest,399,250b97fdb89f288e6366550843da929241033b088e2ae7746085cebdca50d764
v3:Soil Microscopy + equipment entry,Book 1 Chapter 17,move + consolidate,2174,2a83cc97ec5a3e3e06c64ee25ff6dc18bb9e28aeeb9936d8f23df99bf77bbad7
v3:Soil Testing,Book 1 Chapter 18,move intact,1339,6cbd6822898380e9eca6de75f7f96f247c91dd7e8773983f55b669d3cdcd40e3
v2:fig-UC-008,Book 2 Part I opening,preserve/move with Part,24,8d55a20bbb497fb55bc80b15ddb1bf47ece555d7bfd288d11ae4db3d10c6a4e8
