expected_path,source_relpath,action,renamed_on_copy
assets/lse_figures/LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png,New image creations final draft\LSE_A02_Soil_Food_Web_Functional_Map_Ch02.png.png,rename-on-copy,yes
assets/lse_figures/LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png,New image creations final draft\LSE_A04_Mycorrhizal_Exchange_Defense_Priming_Ch06.png.png,rename-on-copy,yes
assets/user_created_web/UCI_005_ISR_and_SAR_The_Plant_Immune_System.png,New image creations final draft\UCI_005_ISR_and_SAR_The_Plant_Immune_System.png,exact-copy,no
assets/lse_figures/LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.png,New image creations final draft\LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.png,New image creations final draft\LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.png.png,rename-on-copy,yes
assets/user_created_web/UCI_003_The_Nutrient_Mineralization_Loop.png,New image creations final draft\UCI_003_The_Nutrient_Mineralization_Loop.png,exact-copy,no
assets/lse_figures/LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png,New image creations final draft\LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D04_Root_Knot_Nematode_Diagnosis_Workflow_Ch05_Ch29_Ch42_Ch44.png,New image creations final draft\LSE_D04_Root_Knot_Nematode_Diagnosis_Workflow_Ch05_Ch29_Ch42_Ch44.png.png,rename-on-copy,yes
assets/lse_figures/LSE_D18_Root_Inspection_Nodules_Galls_Root_Disease_Ch05_Ch29_Ch44.png,New image creations final draft\LSE_D18_Root_Inspection_Nodules_Galls_Root_Disease_Ch05_Ch29_Ch44.png.png,rename-on-copy,yes
assets/user_created_web/UCI_002_Bacterial_vs_Fungal_Soil_Dominance.png,New image creations final draft\UCI_002_Bacterial_vs_Fungal_Soil_Dominance.png,exact-copy,no
assets/user_created_web/UCI_009_Fungal_Bacterial_Input_Guide.png,New image creations final draft\UCI_009_Fungal_Bacterial_Input_Guide.png,exact-copy,no
assets/user_created_web/UCI_007_Composite_Method_Reference.png,New image creations final draft\UCI_007_Composite_Method_Reference.png,exact-copy,no
assets/lse_figures/LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.png,New image creations final draft\LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.png.png,rename-on-copy,yes
assets/lse_figures/LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png,New image creations final draft\LSE_A05_Regenerative_Permaculture_Garden_System_Ch08.png.png,rename-on-copy,yes
assets/user_created_web/UCI_006_Permaculture_Zone_Map.png,New image creations final draft\UCI_006_Permaculture_Zone_Map.png,exact-copy,no
assets/lse_figures/LSE_B08_Thermal_Compost_Process_Ch09_Ch13.png,New image creations final draft\LSE_B08_Thermal_Compost_Process_Ch09_Ch13.png.png,rename-on-copy,yes
assets/lse_figures/LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png,New image creations final draft\LSE_A06_Compost_Microscope_Soil_Food_Web_Workflow_Ch09.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.png,New image creations final draft\LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.png,New image creations final draft\LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.png,New image creations final draft\LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png,New image creations final draft\LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png.png,rename-on-copy,yes
assets/lse_figures/LSE_B13_JADAM_Safety_Plate_Ch12_19_41.png,New image creations final draft\LSE_B13_JADAM_Safety_Plate_Ch12_19_41.png.png,rename-on-copy,yes
