expected_filename,rights_basis,license_canonical,share_alike,license_token_raw,attributed_creator,contact,status_flag,copied_or_proposed,determination
B30_001__LSE_FOUND_B26_ABIOTIC_Pepper_Sunscald_ExposedFruit_DonFerrin_Bugwood_CC-BY-3.jpg,cc_license,CC-BY-3,false,CC-BY-3,Don Ferrin / Bugwood.org (Univ. of Georgia),,,yes,propose-tier4
B30_002__LSE_FOUND_B26_ABIOTIC_Tomato_FruitCracking_IrregularIrrigationCue_Fructibus_CC0.jpg,public_domain,CC0,false,CC0,Fructibus,,,no,unresolved
B30_003__LSE_FOUND_B26_ABIOTIC_Tomato_Catfacing_FruitDeformity_ParthasarathySeethapathy_CC-BY-SA-4.jpg,cc_license,CC-BY-SA-4,true,CC-BY-SA-4,Parthasarathy Seethapathy,,,no,unresolved
B30_004__LSE_FOUND_B26_ABIOTIC_Tomato_HailDamage_BruisedBrokenStems_DwightSipler_CC-BY-2.jpg,cc_license,CC-BY-2,false,CC-BY-2,Dwight Sipler,,,no,unresolved
B30_005__LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg,public_domain,CC0,false,CC0,B137,,,no,unresolved
B30_006__LSE_FOUND_B26_ROOTS_Tomato_RootKnotNematode_GalledRoots_PlantPestsDiseases_CC0.jpg,public_domain,CC0,false,CC0,Plant Pests Diseases,,,no,unresolved
B30_007__LSE_FOUND_B26_COMPOST_Compost_MaturityContamination_TemperatureInspection_StephenAusmus_USDA-PD.jpg,public_domain,PD/USDA,false,USDA-PD,Stephen Ausmus / USDA,,,no,unresolved
B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg,public_domain,PD/USDA,false,USDA-PD,Lance Cheung / USDA,,,no,unresolved
B30_009__LSE_FOUND_B26_WATER_DripIrrigation_WettingPattern_PeggyGreb_USDA-PD.jpg,public_domain,PD/USDA,false,USDA-PD,Peggy Greb / USDA,,,yes,propose-tier4
B30_010__LSE_FOUND_B26_PEST_SquashBug_EggCluster_UndersidePumpkinLeaf_Bdm25_CC-BY-SA-4.jpg,cc_license,CC-BY-SA-4,true,CC-BY-SA-4,Bdm25,,,no,unresolved
B30_011__LSE_FOUND_B26_PEST_SquashBug_EggCluster_AnasaTristis_BeatrizMoisset_CC-BY-SA-4.jpg,cc_license,CC-BY-SA-4,true,CC-BY-SA-4,Beatriz Moisset,,,no,unresolved
B30_012__LSE_FOUND_B26_PEST_SquashBug_Nymphs_OnSummerSquash_Pollinator_CC-BY-2-5.jpg,cc_license,CC-BY-2.5,false,CC-BY-2-5,Pollinator,,,yes,collision
B30_013__LSE_FOUND_B26_PEST_SquashBug_Adult_MarginalResolution_Downtowngal_CC0.jpg,public_domain,CC0,false,CC0,Downtowngal,,,no,unresolved
