expected_path,location,tier,determination,matched_source_relpath,target_ondisk_name,confidence,source_w,source_h,lowres_flag,gate_photographer,gate_license,subject_overlap,notes
assets/B30_001__LSE_FOUND_B26_ABIOTIC_Pepper_Sunscald_ExposedFruit_DonFerrin_Bugwood_CC-BY-3.jpg,assets_root,4,propose-tier4,B17_06_Pepper_Sunscald_ExposedFruit_CC-BY-3.0_DonFerrin-Bugwood.jpg,B30_001__LSE_FOUND_B26_ABIOTIC_Pepper_Sunscald_ExposedFruit_DonFerrin_Bugwood_CC-BY-3.jpg,0.8,3072,2304,,bugwood,CCBY3,don+exposed+ferrin+fruit+pepper+sunscald,GATE PASS: distinct photographer (bugwood) + license (CCBY3) + >=2 independent subject tokens (don+exposed+ferrin+fruit+pepper+sunscald). PROPOSE.
assets/B30_002__LSE_FOUND_B26_ABIOTIC_Tomato_FruitCracking_IrregularIrrigationCue_Fructibus_CC0.jpg,assets_root,4,unresolved,,B30_002__LSE_FOUND_B26_ABIOTIC_Tomato_FruitCracking_IrregularIrrigationCue_Fructibus_CC0.jpg,0.0,,,,fructibus,CC0,tomato,photographer+license gate PASS (fructibus / CC0) but subject does NOT independently corroborate (<2 shared subject tokens) — same photographer's DIFFERENT photo (B17_01_Tomato_BlossomEndRot_CC0_Fructibus.jpg). NOT proposed.
assets/B30_003__LSE_FOUND_B26_ABIOTIC_Tomato_Catfacing_FruitDeformity_ParthasarathySeethapathy_CC-BY-SA-4.jpg,assets_root,4,unresolved,,B30_003__LSE_FOUND_B26_ABIOTIC_Tomato_Catfacing_FruitDeformity_ParthasarathySeethapathy_CC-BY-SA-4.jpg,0.0,,,,,CCBYSA4,,no source passes photographer+license gate
assets/B30_004__LSE_FOUND_B26_ABIOTIC_Tomato_HailDamage_BruisedBrokenStems_DwightSipler_CC-BY-2.jpg,assets_root,4,unresolved,,B30_004__LSE_FOUND_B26_ABIOTIC_Tomato_HailDamage_BruisedBrokenStems_DwightSipler_CC-BY-2.jpg,0.0,,,,,CCBY2,,no source passes photographer+license gate
assets/B30_005__LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg,assets_root,4,unresolved,,B30_005__LSE_FOUND_B26_ROOTS_Container_Rootbound_CirclingRoots_B137_CC0.jpg,0.0,,,,,CC0,,no source passes photographer+license gate
assets/B30_006__LSE_FOUND_B26_ROOTS_Tomato_RootKnotNematode_GalledRoots_PlantPestsDiseases_CC0.jpg,assets_root,4,unresolved,,B30_006__LSE_FOUND_B26_ROOTS_Tomato_RootKnotNematode_GalledRoots_PlantPestsDiseases_CC0.jpg,0.0,,,,,CC0,,no source passes photographer+license gate
assets/B30_007__LSE_FOUND_B26_COMPOST_Compost_MaturityContamination_TemperatureInspection_StephenAusmus_USDA-PD.jpg,assets_root,4,unresolved,,B30_007__LSE_FOUND_B26_COMPOST_Compost_MaturityContamination_TemperatureInspection_StephenAusmus_USDA-PD.jpg,0.0,,,,ausmus+stephen,PD-USDA,,photographer+license gate PASS (ausmus+stephen / PD-USDA) but subject does NOT independently corroborate (<2 shared subject tokens) — same photographer's DIFFERENT photo (B14_04_SapFeeder_WhitefliesOnLeafUnderside_USDA-ARS_StephenAusmus_APPROVED.jpg). NOT proposed.
assets/B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg,assets_root,4,unresolved,,B30_008__LSE_FOUND_B26_SOIL_AggregateStability_SlakeComparison_LanceCheung_USDA-PD.jpg,0.0,,,,cheung+lance,PD-USDA,,photographer+license gate PASS (cheung+lance / PD-USDA) but subject does NOT independently corroborate (<2 shared subject tokens) — same photographer's DIFFERENT photo (B15_13_FOUND_SeedGermination_PaperTowelQualityTest_USDA_LanceCheung_PD.jpg). NOT proposed.
assets/B30_009__LSE_FOUND_B26_WATER_DripIrrigation_WettingPattern_PeggyGreb_USDA-PD.jpg,assets_root,4,propose-tier4,B15_11_FOUND_DripWettingPattern_USDA-ARS_D1094-1_PeggyGreb.jpg,B30_009__LSE_FOUND_B26_WATER_DripIrrigation_WettingPattern_PeggyGreb_USDA-PD.jpg,0.8,427,640,LOWRES<1500,greb+peggy,PD-USDA,drip+pattern+wetting,GATE PASS: distinct photographer (greb+peggy) + license (PD-USDA) + >=2 independent subject tokens (drip+pattern+wetting). PROPOSE.
assets/B30_010__LSE_FOUND_B26_PEST_SquashBug_EggCluster_UndersidePumpkinLeaf_Bdm25_CC-BY-SA-4.jpg,assets_root,4,unresolved,,B30_010__LSE_FOUND_B26_PEST_SquashBug_EggCluster_UndersidePumpkinLeaf_Bdm25_CC-BY-SA-4.jpg,0.0,,,,,CCBYSA4,,no source passes photographer+license gate
